＜茶類＞　（緑茶類）　抹茶　　,39.5,5.3,29.6,0,0,38.5,324,100,グラム,1,0
＜茶類＞　（緑茶類）　せん茶　茶　,47.7,4.7,24.5,0,0,46.5,331,100,グラム,1,0
＜茶類＞　（緑茶類）　せん茶　浸出液　,0.2,0,0.2,0,0,-,2,100,グラム,1,0
＜茶類＞　（緑茶類）　かまいり茶　浸出液　,Tr,0,0.1,0,0,-,0,100,グラム,1,0
＜茶類＞　（緑茶類）　番茶　浸出液　,0.1,0,Tr,0,0,-,0,100,グラム,1,0
＜茶類＞　（緑茶類）　ほうじ茶　浸出液　,0.1,0,Tr,0,0,-,0,100,グラム,1,0
＜茶類＞　（緑茶類）　玄米茶　浸出液　,0,0,0,0,0,0,0,100,グラム,1,0
＜茶類＞　（発酵茶類）　ウーロン茶　浸出液　,0.1,0,Tr,0,0,-,0,100,グラム,1,0
＜茶類＞　（発酵茶類）　紅茶　茶　,51.7,2.5,20.3,0,0,38.1,311,100,グラム,1,0
＜茶類＞　（発酵茶類）　紅茶　浸出液　,0.1,0,0.1,0,0,-,1,100,グラム,1,0
＜コーヒー・ココア類＞　コーヒー　浸出液　　,0.7,Tr,0.2,0,0,-,4,100,グラム,1,0
＜コーヒー・ココア類＞　コーヒー　インスタントコーヒー　　,56.5,0.3,14.7,0,0,-,288,100,グラム,1,0
＜コーヒー・ココア類＞　コーヒー　コーヒー飲料　乳成分入り　加糖　　,8.2,0.3,0.7,0,0,-,38,100,グラム,1,0
＜コーヒー・ココア類＞　ココア　ピュアココア　　,42.4,21.6,18.5,0,0,23.9,271,100,グラム,1,0
＜コーヒー・ココア類＞　ココア　ミルクココア　　,80.4,6.8,7.4,0,0,5.5,412,100,グラム,1,0
＜その他＞　青汁　ケール　,70.2,4.4,13.8,0,0,28,375,100,グラム,1,0
＜その他＞　甘酒　　　,18.3,0.1,1.7,0,0,0.4,81,100,グラム,1,0
＜その他＞　昆布茶　　　,42.3,0.4,5.7,0,0,2.7,98,100,グラム,1,0
＜その他＞　スポーツドリンク　　　,5.1,Tr,0,0,0,Tr,21,100,グラム,1,0
＜その他＞　（炭酸飲料類）　果実色飲料　　,12.8,Tr,Tr,0,0,-,51,100,グラム,1,0
＜その他＞　（炭酸飲料類）　コーラ　　,11.4,Tr,0.1,0,0,-,46,100,グラム,1,0
＜その他＞　（炭酸飲料類）　サイダー　　,10.2,Tr,Tr,0,0,-,41,100,グラム,1,0
＜その他＞　（炭酸飲料類）　ビール風味炭酸飲料　　,1.2,Tr,0.1,0,0,-,5,100,グラム,1,0
＜その他＞　麦茶　浸出液　　,0.3,0,Tr,0,0,-,1,100,グラム,1,0
